,Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
0,1,702892,702892,10000,2025-10-28,1
1,2,279991,279991,10000,2025-10-14,1
2,3,790507,790507,10000,2025-07-21,1
3,4,866621,866621,10000,2025-02-27,1
4,5,119748,119748,10000,2025-07-28,1
5,6,83891,83891,10000,2025-02-27,1
6,7,924856,924856,10000,2025-02-06,1
7,8,45053,45053,10000,2025-07-28,1
8,9,136401,136401,10000,2025-09-21,1
9,10,69679,69679,10000,2025-07-28,1
10,11,616236,616236,10000,2025-09-28,1
11,12,623341,623341,10000,2025-07-07,1
12,13,909283,909283,10000,2025-07-07,1
13,14,692725,692725,10000,2025-02-06,1
14,15,528680,528680,10000,2025-09-28,1
15,16,763313,763313,10000,2025-09-14,1
16,17,541790,541790,10000,2025-07-28,1
17,18,377767,377767,10000,2025-08-14,1
18,19,795957,795957,10000,2025-08-07,1
19,20,44634,44634,10000,2025-07-07,1
20,21,988828,988828,10000,2025-08-28,1
21,22,58714,58714,10000,2025-07-21,1
22,23,314855,314855,10000,2025-05-28,1
23,24,738996,738996,10000,2025-02-06,1
24,25,520618,520618,10000,2025-10-21,1
25,26,410002,410002,10000,2025-12-07,1
26,27,363177,363177,10000,2025-07-14,1
27,28,393893,393893,10000,2025-05-21,1
28,29,893786,893786,10000,2025-07-07,1
29,30,125489,125489,10000,2025-01-20,1
30,31,446721,446721,10000,2025-07-07,1
31,32,334581,334581,10000,2025-08-21,1
32,33,967893,967893,10000,2025-03-21,1
33,34,961432,961432,10000,2025-02-27,1
34,35,877525,877525,10000,2025-05-07,1
35,36,602014,602014,10000,2025-04-28,1
36,37,794208,794208,10000,2025-02-20,1
37,38,542035,542035,10000,2025-10-28,1
38,39,31097,31097,10000,2025-07-14,1
39,40,49277,49277,10000,2025-07-28,1
40,41,59937,59937,10000,2025-01-13,1
41,42,386715,386715,10000,2025-07-14,1
42,43,119206,119206,10000,2025-08-28,1
43,44,349633,349633,10000,2025-06-14,1
44,45,144461,144461,10000,2025-06-07,1
45,46,467211,467211,10000,2025-01-13,1
46,47,936049,936049,10000,2025-11-07,1
47,48,244273,244273,10000,2025-07-14,1
48,49,133856,133856,10000,2025-09-14,1
49,50,95237,95237,10000,2025-08-28,1
50,51,267793,267793,10000,2025-04-21,1
51,52,434140,434140,10000,2025-02-20,1
52,53,907282,907282,10000,2025-06-28,1
53,54,691406,691406,10000,2025-10-28,1
54,55,966527,966527,10000,2025-12-28,1
55,56,972407,972407,10000,2025-05-07,1
56,57,289788,289788,10000,2025-01-27,1
57,58,660188,660188,10000,2025-07-14,1
58,59,164651,164651,10000,2025-09-28,1
59,60,189602,189602,10000,2025-03-28,1
60,61,189525,189525,10000,2025-04-28,1
61,62,269757,269757,10000,2025-11-21,1
62,63,385441,385441,10000,2025-04-14,1
63,64,951169,951169,10000,2025-09-28,1
64,65,820294,820294,10000,2025-07-07,1
65,66,786979,786979,10000,2025-09-07,1
66,67,794987,794987,10000,2025-09-28,1
67,68,408004,408004,10000,2025-11-21,1
68,69,185049,185049,10000,2025-08-14,1
69,70,425073,425073,10000,2025-02-13,1
70,71,163830,163830,10000,2025-03-07,1
71,72,285038,285038,10000,2025-11-07,1
72,73,530469,530469,10000,2025-07-21,1
73,74,670957,670957,10000,2025-12-28,1
74,75,817031,817031,10000,2025-10-14,1
75,76,861384,861384,10000,2025-04-28,1
76,77,639331,639331,10000,2025-04-21,1
77,78,45332,45332,10000,2025-02-20,1
78,79,413734,413734,10000,2025-10-14,1
79,80,375454,375454,10000,2025-11-28,1
80,81,461453,461453,10000,2025-10-21,1
81,82,87407,87407,10000,2025-02-06,1
82,83,433105,433105,10000,2025-03-14,1
83,84,181545,181545,10000,2025-05-07,1
84,85,632091,632091,10000,2025-11-21,1
85,86,845865,845865,10000,2025-02-27,1
86,87,323195,323195,10000,2025-05-21,1
87,88,270045,270045,10000,2025-08-07,1
88,89,633554,633554,10000,2025-12-21,1
89,90,209970,209970,10000,2025-08-14,1
90,91,334779,334779,10000,2025-12-28,1
91,92,439893,439893,10000,2025-05-28,1
92,93,192727,192727,10000,2025-02-06,1
93,94,694929,694929,10000,2025-03-28,1
94,95,994669,994669,10000,2025-03-14,1
95,96,745609,745609,10000,2025-02-20,1
96,97,163012,163012,10000,2025-10-21,1
97,98,566450,566450,10000,2025-02-06,1
98,99,208397,208397,10000,2025-12-28,1
99,100,400707,400707,10000,2025-04-14,1
100,101,277803,277803,10000,2025-02-06,1
101,102,499983,499983,10000,2025-12-21,1
102,103,679941,679941,10000,2025-02-06,1
103,104,605638,605638,10000,2025-08-14,1
104,105,281565,281565,10000,2025-11-28,1
105,106,225711,225711,10000,2025-06-07,1
106,107,7909,7909,10000,2025-04-07,1
107,108,51103,51103,10000,2025-10-07,1
108,109,616091,616091,10000,2025-07-07,1
109,110,243168,243168,10000,2025-02-13,1
110,111,883376,883376,10000,2025-03-28,1
111,112,393028,393028,10000,2025-02-20,1
112,113,901861,901861,10000,2025-03-14,1
113,114,485928,485928,10000,2025-08-21,1
114,115,855001,855001,10000,2025-06-21,1
115,116,418124,418124,10000,2025-07-28,1
116,117,804458,804458,10000,2025-07-21,1
117,118,131892,131892,10000,2025-05-28,1
118,119,933982,933982,10000,2025-10-28,1
119,120,976307,976307,10000,2025-09-21,1
120,121,22161,22161,10000,2025-06-14,1
121,122,902720,902720,10000,2025-07-21,1
122,123,184682,184682,10000,2025-03-28,1
123,124,363475,363475,10000,2025-08-28,1
124,125,706172,706172,10000,2025-12-14,1
125,126,964674,964674,10000,2025-03-14,1
126,127,747975,747975,10000,2025-09-07,1
127,128,603811,603811,10000,2025-11-28,1
128,129,706647,706647,10000,2025-04-21,1
129,130,467718,467718,10000,2025-06-21,1
130,131,793769,793769,10000,2025-02-20,1
131,132,981174,981174,10000,2025-09-07,1
132,133,713552,713552,10000,2025-10-14,1
133,134,291008,291008,10000,2025-02-27,1
134,135,927143,927143,10000,2025-11-21,1
135,136,955009,955009,10000,2025-02-27,1
136,137,551196,551196,10000,2025-11-07,1
137,138,958228,958228,10000,2025-11-28,1
138,139,18919,18919,10000,2025-03-28,1
139,140,612108,612108,10000,2025-03-14,1
140,141,63495,63495,10000,2025-07-28,1
141,142,502416,502416,10000,2025-03-28,1
142,143,352870,352870,10000,2025-11-28,1
143,144,909511,909511,10000,2025-03-21,1
144,145,5879,5879,10000,2025-03-14,1
145,146,47329,47329,10000,2025-04-28,1
146,147,69924,69924,10000,2025-09-14,1
147,148,506978,506978,10000,2025-02-27,1
148,149,796482,796482,10000,2025-02-13,1
149,150,616665,616665,10000,2025-05-07,1
150,151,227739,227739,10000,2025-04-21,1
151,152,55090,55090,10000,2025-03-07,1
152,153,658973,658973,10000,2025-12-28,1
153,154,920637,920637,10000,2025-06-14,1
154,155,741032,741032,10000,2025-03-28,1
155,156,380539,380539,10000,2025-05-07,1
156,157,677274,677274,10000,2025-07-28,1
157,158,732020,732020,10000,2025-07-07,1
158,159,48407,48407,10000,2025-07-28,1
159,160,399953,399953,10000,2025-08-21,1
160,161,196500,196500,10000,2025-10-14,1
161,162,835570,835570,10000,2025-10-07,1
162,163,816952,816952,10000,2025-07-28,1
163,164,304826,304826,10000,2025-06-14,1
164,165,653904,653904,10000,2025-11-14,1
165,166,324874,324874,10000,2025-05-28,1
166,167,470067,470067,10000,2025-07-07,1
167,168,379913,379913,10000,2025-08-07,1
168,169,880491,880491,10000,2025-12-14,1
169,170,996232,996232,10000,2025-08-07,1
170,171,641162,641162,10000,2025-12-28,1
171,172,589065,589065,10000,2025-05-21,1
172,173,343291,343291,10000,2025-10-28,1
173,174,816329,816329,10000,2025-01-27,1
174,175,507261,507261,10000,2025-07-28,1
175,176,104846,104846,10000,2025-10-28,1
176,177,245923,245923,10000,2025-08-28,1
177,178,659450,659450,10000,2025-01-06,1
178,179,315323,315323,10000,2025-09-07,1
179,180,548570,548570,10000,2025-02-13,1
180,181,726639,726639,10000,2025-03-07,1
181,182,363234,363234,10000,2025-04-28,1
182,183,97992,97992,10000,2025-02-27,1
183,184,20095,20095,10000,2025-03-28,1
184,185,914285,914285,10000,2025-04-07,1
185,186,875106,875106,10000,2025-10-14,1
186,187,621045,621045,10000,2025-10-07,1
187,188,510169,510169,10000,2025-12-28,1
188,189,248416,248416,10000,2025-05-21,1
189,190,428632,428632,10000,2025-06-28,1
190,191,79756,79756,10000,2025-05-07,1
191,192,299495,299495,10000,2025-07-07,1
192,193,405048,405048,10000,2025-07-14,1
193,194,78708,78708,10000,2025-05-21,1
194,195,30334,30334,10000,2025-07-21,1
195,196,813259,813259,10000,2025-06-07,1
196,197,605709,605709,10000,2025-06-07,1
197,198,794202,794202,10000,2025-02-20,1
198,199,542560,542560,10000,2025-05-14,1
199,200,8902,8902,10000,2025-09-21,1
200,201,344764,344764,10000,2025-11-14,1
201,202,107210,107210,10000,2025-03-07,1
202,203,213614,213614,10000,2025-03-21,1
203,204,194242,194242,10000,2025-04-14,1
204,205,902803,902803,10000,2025-03-28,1
205,206,30727,30727,10000,2025-12-28,1
206,207,112165,112165,10000,2025-11-07,1
207,208,591645,591645,10000,2025-12-28,1
208,209,787112,787112,10000,2025-08-28,1
209,210,34028,34028,10000,2025-05-07,1
210,211,217923,217923,10000,2025-07-14,1
211,212,687013,687013,10000,2025-06-07,1
212,213,321218,321218,10000,2025-09-21,1
213,214,846669,846669,10000,2025-02-13,1
214,215,340980,340980,10000,2025-11-28,1
215,216,452010,452010,10000,2025-12-07,1
216,217,566837,566837,10000,2025-03-07,1
217,218,714248,714248,10000,2025-08-28,1
218,219,997549,997549,10000,2025-02-13,1
219,220,313651,313651,10000,2025-11-28,1
220,221,446390,446390,10000,2025-03-14,1
221,222,25439,25439,10000,2025-06-07,1
222,223,533679,533679,10000,2025-04-07,1
223,224,442089,442089,10000,2025-08-28,1
224,225,573595,573595,10000,2025-12-07,1
225,226,13866,13866,10000,2025-04-07,1
226,227,233268,233268,10000,2025-12-14,1
227,228,604130,604130,10000,2025-02-27,1
228,229,212522,212522,10000,2025-08-14,1
229,230,44687,44687,10000,2025-09-28,1
230,231,232585,232585,10000,2025-09-14,1
231,232,376733,376733,10000,2025-11-21,1
232,233,505561,505561,10000,2025-09-14,1
233,234,790770,790770,10000,2025-04-14,1
234,235,96998,96998,10000,2025-12-07,1
235,236,252026,252026,10000,2025-08-21,1
236,237,699662,699662,10000,2025-07-21,1
237,238,348858,348858,10000,2025-11-07,1
238,239,158389,158389,10000,2025-12-28,1
239,240,831485,831485,10000,2025-07-21,1
240,241,867226,867226,10000,2025-12-28,1
241,242,224961,224961,10000,2025-02-20,1
242,243,732830,732830,10000,2025-04-28,1
243,244,192144,192144,10000,2025-05-28,1
244,245,370991,370991,10000,2025-01-20,1
245,246,434601,434601,10000,2025-11-21,1
246,247,726378,726378,10000,2025-01-27,1
247,248,697049,697049,10000,2025-02-06,1
248,249,214393,214393,10000,2025-03-07,1
249,250,616806,616806,10000,2025-10-14,1
250,251,448528,448528,10000,2025-12-21,1
251,252,698079,698079,10000,2025-05-21,1
252,253,4771,4771,10000,2025-11-14,1
253,254,479929,479929,10000,2025-01-20,1
254,255,443186,443186,10000,2025-05-07,1
255,256,761577,761577,10000,2025-01-06,1
256,257,826829,826829,10000,2025-03-21,1
257,258,81668,81668,10000,2025-05-28,1
258,259,491083,491083,10000,2025-05-21,1
259,260,295650,295650,10000,2025-11-21,1
260,261,571137,571137,10000,2025-02-20,1
261,262,273277,273277,10000,2025-03-28,1
262,263,32165,32165,10000,2025-09-28,1
263,264,317294,317294,10000,2025-07-07,1
264,265,623791,623791,10000,2025-02-20,1
265,266,646308,646308,10000,2025-08-21,1
266,267,336873,336873,10000,2025-12-07,1
267,268,747962,747962,10000,2025-08-14,1
268,269,102126,102126,10000,2025-10-21,1
269,270,617403,617403,10000,2025-02-13,1
270,271,669268,669268,10000,2025-07-21,1
271,272,191826,191826,10000,2025-07-21,1
272,273,221536,221536,10000,2025-06-07,1
273,274,785047,785047,10000,2025-07-14,1
274,275,57848,57848,10000,2025-03-28,1
275,276,567105,567105,10000,2025-10-07,1
276,277,820598,820598,10000,2025-03-07,1
277,278,883435,883435,10000,2025-06-21,1
278,279,637801,637801,10000,2025-02-20,1
279,280,796261,796261,10000,2025-07-21,1
280,281,98684,98684,10000,2025-02-20,1
281,282,136120,136120,10000,2025-05-21,1
282,283,535486,535486,10000,2025-01-20,1
283,284,782560,782560,10000,2025-04-14,1
284,285,253878,253878,10000,2025-01-27,1
285,286,806974,806974,10000,2025-05-28,1
286,287,176374,176374,10000,2025-06-07,1
287,288,97079,97079,10000,2025-06-14,1
288,289,206399,206399,10000,2025-03-28,1
289,290,468749,468749,10000,2025-03-28,1
290,291,261734,261734,10000,2025-01-20,1
291,292,2398,2398,10000,2025-10-07,1
292,293,710990,710990,10000,2025-05-14,1
293,294,960314,960314,10000,2025-03-21,1
294,295,4132,4132,10000,2025-02-27,1
295,296,832973,832973,10000,2025-07-14,1
296,297,244171,244171,10000,2025-06-21,1
297,298,638375,638375,10000,2025-04-14,1
298,299,966069,966069,10000,2025-12-21,1
299,300,688807,688807,10000,2025-09-21,1
300,301,480583,480583,10000,2025-04-07,1
301,302,306727,306727,10000,2025-03-28,1
302,303,581294,581294,10000,2025-11-07,1
303,304,605794,605794,10000,2025-11-07,1
304,305,777895,777895,10000,2025-05-28,1
305,306,416142,416142,10000,2025-08-28,1
306,307,616238,616238,10000,2025-09-14,1
307,308,476927,476927,10000,2025-07-28,1
